screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,50 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD,0,0,0,0,0,,WD,0,,FALSE,,F5,M3,M2,M2,F5,1,1,1,1,1,,gots000
,,,,M1,,,,,,,,,,,,M1,0,0,60,200,600,,M1,2,,,,F5,F9,F10,F6,RP1,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,,,,,,M2,0,0,40,150,500,,M2,2,,,,F10,RP1,F9,F7,RP1,1,1,1,1,1,,
,,,,M3,,,,,,,,,,,,M3,0,0,30,100,400,,M3,2,,,,BN,RP1,M1,M3,F8,1,1,1,1,1,,
,,,,M4,,,,,,,,,,,,M4,0,0,30,100,400,,M4,2,,,,F8,RP1,M4,WD,M1,1,1,1,1,1,,
,,,,F5,,,,,,,,,,,,F5,0,0,20,80,200,,F5,1,,,,M4,M4,F7,F9,F7,1,1,1,1,1,,
,,,,F6,,,,,,,,,,,,F6,0,0,20,80,200,,F6,1,,,,F6,F10,WD,M4,M2,1,1,1,1,1,,
,,,,F7,,,,,,,,,,,,F7,0,0,10,50,100,,F7,1,,,,M2,WD,F10,M2,F6,1,1,1,1,1,,
,,,,F8,,,,,,,,,,,,F8,0,0,10,50,100,,F8,1,,,,F9,F8,F5,F10,M4,1,1,1,1,1,,
,,,,F9,,,,,,,,,,,,F9,0,0,10,50,100,,F9,1,,,,M4,F8,F10,M3,F5,1,1,1,1,1,,
,,,,F10,,,,,,,,,,,,F10,0,0,10,50,100,,F10,1,,,,F8,M1,F7,F9,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F10,F8,M1,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,BN,M3,F6,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F9,RP1,BN,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,RP1,F8,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,RP1,M2,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,F10,F7,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F6,WD,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F8,F8,M4,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,F5,M1,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,RP1,RP1,F8,1,1,1,1,1,,
