screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,20,,RP1,,WD,0,0,0,0,0,,WD,0,2,0,0,0,0,0,,FALSE,,F9,F9,M3,F9,F9,1,1,1,1,1,,gots000
,,,,M1,,,,,,,SC2,40,,RP2,,M1,0,0,100,200,600,,M1,1,5,0,0,0,0,0,,,,RP6,M4,M3,F9,F9,,,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,50,,RP3,,M2,0,0,75,150,300,,M2,1,5,0,0,0,0,0,,,,RP7,M4,F9,M5,M6,,,,,,,
,,,,M3,,,,,,,SC4,75,,RP4,,M3,0,0,50,100,200,,M3,1,5,0,0,0,0,0,,,,RP7,M6,WD,F10,M3,,,,,,,
,,,,M4,,,,,,,SC5,100,,RP5,,M4,0,0,25,50,100,,M4,1,0,0,0,0,0,0,,,,M6,M1,M5,RP6,M4,,,,,,,
,,,,M5,,,,,,,SC6,150,,RP6,,M5,0,0,25,50,100,,M5,1,0,0,0,0,0,0,,,,F7,M3,F7,M2,M6,,,,,,,
,,,,M6,,,,,,,SC7,200,,RP7,,M6,0,0,25,50,100,,M6,1,0,0,0,0,0,0,,,,F9,M3,M1,M2,M5,,,,,,,
,,,,F7,,,,,,,SC8,300,,,,F7,0,0,5,25,50,,F7,0,0,0,0,0,0,0,,,,M1,WD,F8,WD,M5,,,,,,,
,,,,F8,,,,,,,SC9,500,,,,F8,0,0,5,25,50,,F8,0,0,0,0,0,0,0,,,,M1,M2,M5,M1,M4,,,,,,,
,,,,F9,,,,,,,SC10,800,,,,F9,0,0,5,25,50,,F9,0,0,0,0,0,0,0,,,,F9,M2,F9,M5,M6,,,,,,,
,,,,F10,,,,,,,SC11,1000,,,,F10,0,0,5,25,50,,F10,0,0,0,0,0,0,0,,,,F8,M5,M4,M5,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC1,0,0,1,1,1,1,1,,,,F7,M4,M6,M4,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,1,1,1,1,1,,,,F9,RP2,RP2,M4,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,5,5,5,5,5,,,,M4,RP2,RP2,F7,RP6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,10,10,10,10,10,,,,F8,RP2,RP2,F7,F8,,,,,,,
