screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
33333,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD3,0,TRUE,TRUE,1,FALSE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,0,0,0,,WD,0,0,,FALSE,,F8,F6,F5,M1,F6,,,,,,,gots000
,,,,M1,,,,,,,,,,RP2,,WD2,0,TRUE,TRUE,1,FALSE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,20,150,300,,M1,1,1,,,,M1,F6,M4,F7,F7,,,,,,,do not remove this last column
,,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,M2,0,0,20,150,200,,M2,0,0,,,,F7,M2,F5,F6,M3,,,,,,,
,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,M3,0,0,10,100,150,,M3,0,0,,,,BN,M2,M4,M1,F6,,,,,,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,10,100,150,,M4,0,0,,,,F5,F7,F6,F8,F5,,,,,,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,F5,0,0,5,50,100,,F5,0,0,,,,M2,BN,M3,WD,M2,,,,,,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,5,50,100,,F6,0,0,,,,F8,F5,F5,F7,F5,,,,,,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,10,50,,F7,0,0,,,,M2,F5,WD,M2,F6,,,,,,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,10,50,,F8,0,0,,,,F5,M3,M3,F7,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F6,F8,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M3,WD,F7,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F8,M4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,M1,F5,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F7,F6,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,F5,F6,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,WD,F8,M3,M4,,,,,,,
