screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
44444,,30 lines 44444,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD3,0,TRUE,TRUE,1,FALSE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,WD,0,0,300,800,1000,,WD,0,0,,FALSE,,F7,F8,F8,F9,F9,1,1,1,1,1,,gots000
,,,,M1,,,,,,,,,,RP2,,WD2,0,TRUE,TRUE,1,FALSE,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,M1,0,0,300,800,1000,,M1,1,1,,,,F7,F7,F8,F5,F8,1,1,1,1,1,,do not remove this last column
,,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,M2,0,0,200,500,800,,M2,0,0,,,,M2,F8,M4,F5,F8,1,1,1,1,1,,
,,,,M3,,,,,,,,,,,,,,,,,,,,,,,,,,M3,0,0,100,200,300,,M3,0,0,,,,M2,F9,M4,F9,M3,1,1,1,1,1,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,50,100,220,,M4,0,0,,,,F6,F5,F8,F9,M3,1,1,1,1,1,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,50,100,150,,F5,0,0,,,,F7,F5,F8,M2,F8,1,1,1,1,1,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,20,80,100,,F6,0,0,,,,F7,F8,M3,M2,M4,1,1,1,1,1,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,10,30,50,,F7,0,0,,,,M4,F6,M3,F8,M4,1,1,1,1,1,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,8,25,50,,F8,0,0,,,,M4,F8,F9,F8,F9,1,1,1,1,1,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,15,50,,F9,0,0,,,,F8,F9,F9,F7,BN,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,0,0,,,,F8,M4,M1,F5,F9,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,M1,F5,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F7,F6,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,F7,F6,F7,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,BN,F8,F7,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F8,F8,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F8,M2,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M1,WD,M2,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,F6,F6,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,F6,F8,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M4,F8,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M4,WD,F6,1,1,1,1,1,,
