screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
33333,,50 lines 33333,,WD,,WD,1,,BN,,SC1,100,,RP1,,WD-3A,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,WD,0,0,5,150,300,,RP1,0,1,,FALSE,,M4,F8,WD,M4,F10,,gots000
,,,,M1,,,,,BN1,,,,,RP2,,WD-3B,1,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M1,0,0,5,150,300,,M1,1,0,,,,F7,M1,WD,F7,M2,,do not remove this last column
,,,,M2,,,,,BN2,,,,,,,WD-3C,2,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,M2,0,0,5,150,300,,M2,1,0,,,,M3,F10,WD,M2,F8,,
,,,,M3,,,,,BN3,,,,,,,,,,,,,,,,,,,,,M3,0,0,5,100,200,,M3,1,0,,,,F6,M4,,F10,M1,,
,,,,M4,,,,,,,,,,,,,,,,,,,,,,,,,,M4,0,0,5,100,200,,M4,1,0,,,,F7,RP2,,M3,F7,,
,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,,M5,0,0,5,80,150,,F5,1,2,,,,RP2,F6,,RP2,M3,,
,,,,F6,,,,,,,,,,,,,,,,,,,,,,,,,,F6,0,0,5,80,150,,F6,1,0,,,,M3,M3,,F5,RP2,,
,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,F7,0,0,5,80,150,,F7,1,2,,,,F10,F8,,M4,M4,,
,,,,F8,,,,,,,,,,,,,,,,,,,,,,,,,,F8,0,0,5,50,100,,F8,2,0,,,,F8,M2,,M3,F6,,
,,,,F9,,,,,,,,,,,,,,,,,,,,,,,,,,F9,0,0,5,50,100,,F9,1,2,,,,F7,F9,,F8,M1,,
,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,5,50,100,,F10,1,0,,,,M2,F5,,M1,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP2,,F9,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F10,,F6,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,,RP2,RP2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,,F8,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F8,,M4,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP2,,F10,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,,M1,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,,F5,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,,RP2,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,,M4,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,,F9,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F10,,M2,RP2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,,F7,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,,M3,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,,F8,F5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,,RP2,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,,F6,RP2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,,M3,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,,RP1,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,,RP1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M2,,RP1,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F5,,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP1,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP1,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,
